Achei_only_incZ,Achei_only_decZ,Nic_only_incZ,Nic_only_decZ,ALE_inc3,ALE_dec3
,,,0.40535274,0.0,0.0
,,,0.010659652,0.0,0.0
,,,,,
,,,0.4632593,0.0,0.0
,,,0.82873243,0.0,0.0
,0.077970654,0.62800616,0.3921286,0.0,0.0
,,,,,
,0.5423037,0.3767895,0.16394398,0.0,0.0
,0.3716785,0.5961351,,0.0,0.0
,0.03767976,0.111576855,0.3808604,0.0,0.0
,1.0,0.17241092,,0.0,0.0
,0.24232069,0.10741441,0.3908177,0.0,0.0
,0.1627158,0.45247018,0.2936619,0.0,0.0
,0.32425186,0.16654195,,0.0,0.0
,0.13746762,0.1418427,0.11782043,0.0,0.0
0.08367509,,0.024721079,0.36768767,0.0,0.0
0.08283675,,0.63656646,0.36679775,0.0,0.0
0.13398308,0.112786025,0.3877787,0.6421611,0.0,0.0
,0.093578726,0.13622747,0.35361212,0.0,0.0
,0.04978016,0.06525858,0.39071625,0.0,0.0
0.122908354,,0.03328465,0.83873606,0.0,0.0
,0.1865586,0.076684006,0.23335442,0.0,0.0
,,,,,
,,,,,
,,,,,
0.3647643,0.030840784,0.20353796,0.122131795,0.0,0.0
0.5534768,0.05795011,0.099002555,0.22578545,0.0,0.0
,,,,,
,,,0.098186605,0.0,0.0
,,,0.40509203,0.0,0.0
,,,,,
,,0.2923684,,0.0,0.0
,0.050746948,,0.5242669,0.0,0.0
,,0.5572264,,0.0,0.0
,,0.22250651,0.24237016,0.0,0.0
,0.023618922,0.12470707,0.0315822,0.0,0.0
,0.14777172,0.2633322,0.60220534,0.0,0.0
0.12987766,0.12100512,0.59904784,,0.0,0.0
,,,0.4578543,0.0,0.0
,0.12575614,0.25798625,0.16586898,0.0,0.0
,0.12698582,,0.03055439,0.0,0.0
0.11054021,0.27085322,0.021321133,0.5781053,0.0,0.0
0.21067086,0.093699366,,0.53923744,0.0,0.0
0.17943504,0.09411293,0.7620564,0.4451926,0.0,0.0
0.31752416,0.10802463,0.47723734,0.3958364,0.0,0.0
0.3955277,0.29724613,0.101862475,0.26941177,0.0,0.0
,,,0.46865842,0.0,0.0
,,0.36729664,0.7778353,0.0,0.0
0.24832544,0.16275954,0.46570462,0.4241736,0.0,0.0
0.43040547,0.22938359,0.25731146,0.34916958,0.0,0.0
0.5695572,0.3635958,0.5275203,0.63737416,0.0,0.0
,,,0.23504642,0.0,0.0
0.36472067,0.053367287,0.29110545,0.2247389,0.0,0.0
0.59367216,0.11940712,0.059908643,0.20285162,0.0,0.0
0.526734,0.0031205714,,0.16973095,0.0,0.0
0.0,0.054148108,0.24094172,,0.0,0.0
,0.23976153,0.75835526,0.18916875,0.0,0.0
0.71522,0.0168581,,,0.0,0.0
0.14612651,,,,0.0,0.0
0.36682573,0.10866615,,0.29707396,0.0,0.0
,0.036165968,0.0054733455,0.72883797,0.0,0.0
,,0.16743223,0.26500085,0.0,0.0
0.6559603,0.21072379,0.32756186,0.2646508,0.0,0.0
,,0.56371087,0.2647334,0.0,0.0
0.26392052,,0.4885012,0.82716537,0.0,0.0
0.184688,0.26033792,0.24336688,0.3908177,0.0,0.0
,,,,,
,,,,,
,0.6549871,,0.425233,0.0,0.60685414
0.21613148,0.42485157,0.2792511,0.22291341,0.0,0.0
,0.1539934,0.20099658,0.35457128,0.0,0.0
,,0.1247499,,0.0,0.0
,,,,,
,,,,,
,,,0.80660886,0.0,0.0
,,,0.086788036,0.0,0.0
,,0.10502152,,0.0,0.0
,,,,,
,0.14544722,0.6410656,0.6017871,0.0,0.0
0.33751526,,0.61148447,0.4413137,0.28024238,0.0
