IncACh_ALE,IncACh_FWE,IncACh_Z,binInAch_FWE,nonMACMDecACh_FWE,binDeAch_FWE,MACMDDecACh_FWE,MACMDDecACh_Z,MACMDComACh_FWE,MACMDComACh_Z,MACMDNbM_Z,MACMDNbMSep_Z,AchInc_ALE05d3,AchDec_ALE05d3
4.097029e-06,0.0,,0.0,0.0,0.0,0.0,0.27975535,0.0,0.29243347,0.23609057,0.2469016,0.0,0.0
2.819105e-05,0.0,,0.0,0.0,0.0,0.0,0.10590441,0.0,0.12063386,0.13801932,0.1448306,0.0,0.0
3.0225947e-05,0.0,,0.0,0.0,0.0,0.0,0.14677091,0.0,0.1975578,0.14713964,0.25055832,0.0,0.0
0.00364129,0.0,0.093067236,0.0,0.0,0.0,0.0,0.21758278,0.0,0.25922316,0.2768184,0.27992272,0.0,0.0
0.09869883,0.0,0.33324337,0.0,0.0,0.0,0.00077843457,0.31131425,0.00035948565,0.33209118,0.26852897,0.2767527,0.0,0.0
0.0045529185,0.0,0.1013688,0.0,0.0,0.0,0.0,0.21648431,0.0,0.22940691,0.13087977,0.17200184,0.0,0.0
1.3106101e-06,0.0,,0.0,0.0,0.0,0.0,0.13330531,0.0,0.16070849,0.118824214,0.14599676,0.0,0.0
0.043689355,0.0,0.2549091,0.0,0.0,0.0,0.0,0.16198114,0.0,0.17623313,0.1825474,0.18497658,0.0,0.0
0.0034035593,0.0,0.08207893,0.0,0.0,0.0,0.08932305,0.36413604,0.088986956,0.38113314,0.22145256,0.23682421,0.0,0.0
2.6141294e-09,0.0,,0.0,0.0,0.0,0.0,0.15933561,0.0,0.17454219,,,0.0,0.0
1.102907e-06,0.0,,0.0,0.0,0.0,0.0,0.18094797,0.0,0.21084608,0.0600729,0.08293791,0.0,0.0
0.003608579,0.0,0.09362536,0.0,0.0,0.0,0.0,0.24648479,0.0,0.25840858,0.33414268,0.33864033,0.0,0.0
4.601791e-05,0.0,,0.0,0.0,0.0,0.0,0.18510924,0.0,0.21507147,0.35116556,0.35339767,0.0,0.0
4.321242e-05,0.0,,0.0,0.0,0.0,0.0,0.1229224,0.0,0.13791996,0.29905152,0.30628026,0.0,0.0
0.0004927489,0.0,,0.0,0.0,0.0,0.0,0.08762002,0.0,0.10264145,0.23995997,0.2613594,0.0,0.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.011981989,0.0,0.15842587,0.0,0.0,0.0,0.0,0.19459204,0.0,0.22700405,0.42812723,0.427464,0.0,0.0
0.0021625105,0.0,,0.0,0.0,0.0,0.0,0.17050408,0.0,0.21444844,0.31284386,0.33013427,0.0,0.0
8.422602e-06,0.0,,0.0,0.0,0.0,0.0,0.19478703,0.0,0.27106175,0.37801138,0.37907806,0.0,0.0
0.17557007,0.0,0.40334338,0.0,0.0,0.0,0.0,0.20844962,0.0,0.2347718,0.18773457,0.20041966,0.0,0.0
0.0019210018,0.0,0.046242803,0.0,0.0,0.0,0.0,0.17670228,0.0,0.2302226,0.24235916,0.25147706,0.0,0.0
0.48793772,0.0,0.6449638,0.0,0.0,0.0,0.0,0.19931875,0.0,0.23968053,0.23782396,0.2873036,0.0,0.0
0.0780451,0.0,0.30584985,0.0,0.0,0.0,0.0,0.1619237,0.0,0.18021145,0.24908677,0.25314555,0.0,0.0
0.028476413,0.0,0.22244869,0.0,0.0,0.0,0.0,0.28019047,0.0,0.29443118,0.22886218,0.23237398,0.0,0.0
0.0049194037,0.0,0.10440914,0.0,0.0,0.0,0.0,0.26839665,0.0,0.27846253,0.31400773,0.3172292,0.0,0.0
0.00019287976,0.0,,0.0,0.0,0.0,0.0,0.1550102,0.0,0.2094636,0.24789968,0.2825147,0.0,0.0
2.3816526e-06,0.0,,0.0,0.0,0.0,0.0,0.20617251,0.0,0.26117757,0.32940635,0.37569037,0.0,0.0
0.013707521,0.0,0.16930804,0.0,0.0,0.0,0.0,0.27205524,0.0,0.30494058,0.19629002,0.19920734,0.0,0.0
0.014251953,0.0,0.1723361,0.0,0.0,0.0,0.0,0.19171321,0.0,0.20926243,0.30173406,0.30441484,0.0,0.0
0.08536616,0.0,0.3171367,0.0,0.0,0.0,0.01874674,0.32388872,0.0,0.34750274,0.31505558,0.32001114,0.0,0.0
0.063230015,0.0,0.28936493,0.0,0.0,0.0,0.053466193,0.35226342,0.05401589,0.36360002,0.3445407,0.34780294,0.0,0.0
0.0007080117,0.0,,0.0,0.0,0.0,0.0,0.24666832,0.0,0.26166052,0.22393009,0.238094,0.0,0.0
0.2615362,0.0,0.4702608,0.0,0.0,0.0,0.0,0.09470232,0.0,0.10350148,0.10154918,0.10227506,0.0,0.0
0.12848547,0.0,0.36219168,0.0,0.0,0.0,0.1225269,0.3652588,0.0,0.36601815,0.33834723,0.3409276,0.0,0.0
0.019191341,0.0,0.19170646,0.0,0.0,0.0,0.0,0.26810795,0.0,0.2793212,0.2549837,0.29645237,0.0,0.0
